"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover",901301080,"SFY 2000-2001","Number","Bonded Regional School District Debt",2731797
"Ansonia",900901220,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Ashford",901501430,"SFY 2000-2001","Number","Bonded Regional School District Debt",5455549
"Avon",900302060,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Barkhamsted",900502760,"SFY 2000-2001","Number","Bonded Regional School District Debt",3480710
"Beacon Falls",900903250,"SFY 2000-2001","Number","Bonded Regional School District Debt",18342259
"Berlin",900304300,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bethany",900904580,"SFY 2000-2001","Number","Bonded Regional School District Debt",4561900
"Bethel",900104720,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bethlehem",900504930,"SFY 2000-2001","Number","Bonded Regional School District Debt",4464473
"Bloomfield",900305910,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bolton",901306260,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bozrah",901106820,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Branford",900907310,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bridgeport",900108070,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bridgewater",900508210,"SFY 2000-2001","Number","Bonded Regional School District Debt",1396443
"Bristol",900308490,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Brookfield",900108980,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Brooklyn",901509190,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Burlington",900310100,"SFY 2000-2001","Number","Bonded Regional School District Debt",7868646
"Canaan",900510940,"SFY 2000-2001","Number","Bonded Regional School District Debt",149378
"Canterbury",901512130,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Canton",900312270,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Chaplin",901513810,"SFY 2000-2001","Number","Bonded Regional School District Debt",36866
"Cheshire",900914160,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Chester",900714300,"SFY 2000-2001","Number","Bonded Regional School District Debt",516938
"Clinton",900715350,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Colchester",901115910,"SFY 2000-2001","Number","Bonded Regional School District Debt",
"Colebrook",900516050,"SFY 2000-2001","Number","Bonded Regional School District Debt",1284827
