"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","SFY 2000-2001","Number","Bonded Regional School District Debt",2731797
"Ansonia","0900901220","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Ashford","0901501430","SFY 2000-2001","Number","Bonded Regional School District Debt",5455549
"Avon","0900302060","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Barkhamsted","0900502760","SFY 2000-2001","Number","Bonded Regional School District Debt",3480710
"Beacon Falls","0900903250","SFY 2000-2001","Number","Bonded Regional School District Debt",18342259
"Berlin","0900304300","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bethany","0900904580","SFY 2000-2001","Number","Bonded Regional School District Debt",4561900
"Bethel","0900104720","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bethlehem","0900504930","SFY 2000-2001","Number","Bonded Regional School District Debt",4464473
"Bloomfield","0900305910","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bolton","0901306260","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bozrah","0901106820","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Branford","0900907310","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bridgeport","0900108070","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Bridgewater","0900508210","SFY 2000-2001","Number","Bonded Regional School District Debt",1396443
"Bristol","0900308490","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Brookfield","0900108980","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Brooklyn","0901509190","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Burlington","0900310100","SFY 2000-2001","Number","Bonded Regional School District Debt",7868646
"Canaan","0900510940","SFY 2000-2001","Number","Bonded Regional School District Debt",149378
"Canterbury","0901512130","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Canton","0900312270","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Chaplin","0901513810","SFY 2000-2001","Number","Bonded Regional School District Debt",36866
"Cheshire","0900914160","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Chester","0900714300","SFY 2000-2001","Number","Bonded Regional School District Debt",516938
"Clinton","0900715350","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Colchester","0901115910","SFY 2000-2001","Number","Bonded Regional School District Debt",
"Colebrook","0900516050","SFY 2000-2001","Number","Bonded Regional School District Debt",1284827
"Columbia","0901316400","SFY 2000-2001","Number","Bonded Regional School District Debt",
